neighborhood,avgOverallEquityScore,Percent Hispanic,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Hawaiian/Pacific Islander,Percent Other Race,Percent Two or More Races,Median Household Income,Per Capita Income,Median Home Value,Percent Living in Poverty,population_density,percent_less_hs,percent_at_hs,percent_some_college,percent_bachelors,program_count_per1000,crime_per1000
Goldsmith,2.5999999,10.42053707,72.45397737,9.54230704,0.59111637,2.0773518,0.0,0.10133423,4.81337612,58355,34910,482177,16.3,2958.0118052860153,5.037539355776217,18.067328651005084,38.21748607410995,38.67764591910874,2.7022462421888194,520.8579631818949
Hale,3.4000001,16.49816176,70.93290441,2.51608456,0.02297794,0.94209559,2.78033088,1.71185662,4.59558824,65976,54632,566476,7.16666667,3456.177544749267,5.110145361906189,8.661771317248613,24.591637943953245,61.636445376891956,4.71047794117647,382.8125
Hampden,3.0999999,15.61250641,64.30035879,9.98974885,0.0,5.37672988,0.0,0.7893388,3.93131727,67636,45918,396498,8.92,2669.4445384007963,5.704993563249543,13.62558438918626,29.62260315739549,51.04681889016871,6.45822655048693,391.49154279856486
Hampden South,3.5,16.13231248,70.88766599,7.99138653,0.34094987,1.91410456,0.0,0.08972365,2.64385692,72880,55124,463261,5.925,2218.6678695107635,2.803738317757009,16.900965993874184,22.58697871672033,57.70831697164848,24.10575427682737,348.9651872233521
Harvey Park,2.20000005,53.49856551,39.7513548,1.80108384,0.17532675,3.88109659,0.0,0.0,0.89257252,70368,30915,365957,10.5,2876.402926133029,16.174863387978142,31.42683667273831,23.570127504553735,28.828172434729808,33.4714695569015,255.5785782594836
Harvey Park South,2.4000001,47.960666,40.65258688,3.4975975,0.0670466,3.66521399,2.00022349,1.47502514,0.68164041,72535,37054,397863,10.0,2530.140239519255,19.75407218141169,20.53656978601086,26.972213350367298,32.73714468221016,55.983908816627554,297.5751480612359
Highland,3.0999999,18.4299431,73.10633001,0.61344239,1.80476529,1.92034139,0.0,0.2311522,3.8940256,103880,75904,605346,7.73333333,3770.002348737434,6.488464951197869,6.832298136645963,11.5905057675244,75.08873114463177,52.80938833570412,520.4480796586059
Hilltop,4.30000019,7.38239928,77.05379248,4.80531173,0.19131218,4.16385325,0.28134144,0.38262435,5.73936529,148315,104980,973008,3.5,1992.4761074033854,2.49607535321821,4.99215070643642,10.470957613814756,82.0408163265306,84.51496736439343,236.43934278640558
Indian Creek,3.5,12.7,63.8,9.375,0.375,6.6,0.0,0.0,7.15,79596,47314,316200,11.2,3170.72470067714,3.0331457160725455,11.882426516572858,28.424015009380867,56.66041275797373,5.25,172.75
Jefferson Park,3.0,26.40316206,63.24110672,2.55599473,0.0,2.7140975,0.0,0.0,5.085639,100154,86954,617037,13.1,2980.7721798558127,10.455680399500626,4.65043695380774,10.486891385767791,74.40699126092385,5.797101449275362,679.3148880105401
Kennedy,2.79999995,27.67037216,30.69115515,26.51039149,0.45915901,10.439826,0.0,0.0,4.22909618,60806,33128,0,7.8,2277.1200980407853,18.815987933634993,19.079939668174962,28.996983408748118,33.10708898944193,3.141614306428226,524.8912518124698
