neighborhood,program_count,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Total Population All,crime_per1000,theft_mv_per1000,auto_theft_per1000,disorder_per1000,larceny_per1000,other_per1000,burglary_per1000,drug_alcohol_per1000,crime_against_persons_per1000,assult_per1000,robbery_per1000,white_collar_per1000,arson_per1000,murder_per1000
Central Park,1636.0,18139,2795,3250,2268,5320,1176,1289,465,509,458,344,230,23,12,4.5,4.5,4.0,5,2.5,4.0999999,29939,605.8652593607002,93.35649153278334,108.55405992184107,75.75403320084172,177.69464577975216,39.27986906710311,43.05421022746251,15.531580881124954,17.00123584622065,15.297772136677912,11.490029727111793,7.682287317545676,0.7682287317545676,0.400814990480644
Chaffee Park,262.0,1573,292,305,203,172,128,157,112,45,63,54,36,5,1,3.0,3.0,2.5,3,4.0,3.0999999,3504,448.9155251141553,83.33333333333333,87.0433789954338,57.9337899543379,49.086757990867575,36.5296803652968,44.805936073059364,31.963470319634702,12.842465753424657,17.97945205479452,15.410958904109588,10.273972602739725,1.4269406392694064,0.28538812785388123
Cheesman Park,31.0,4334,820,590,740,679,336,362,351,192,122,79,52,8,3,4.0,3.5,3.0,2,4.5,3.4000001,8948,484.3540455967814,91.64059007599464,65.9365221278498,82.70004470272686,75.8828788556102,37.55029056772463,40.455967814036654,39.22664282521234,21.457308895842647,13.634331694233348,8.828788556101921,5.811354492624051,0.894054537326777,0.33527045149754137
Cherry Creek,273.0,4075,819,461,502,1445,121,384,20,74,36,97,110,6,0,4.5,4.0,3.0,5,3.5,4.0,6428,633.9452395768512,127.41132545115121,71.71748599875545,78.09583074051027,224.79775980087118,18.82389545737399,59.738643434972,3.1113876789047916,11.512134411947727,5.6004978220286254,15.09023024268824,17.112632233976356,0.9334163036714375,0.0
City Park,172.0,1970,412,268,405,406,109,156,42,68,52,24,21,5,2,3.5,4.0,3.0,5,4.0,3.9000001,3591,548.5937064884433,114.73127262600946,74.63102199944305,112.78195488721803,113.06042884990252,30.3536619326093,43.44193817878028,11.695906432748536,18.93622946254525,14.480646059593427,6.683375104427736,5.847953216374268,1.392369813422445,0.556947925368978
City Park West,31.0,4635,618,549,842,686,577,401,265,277,256,92,54,10,8,2.5,3.0,2.0,1,4.0,2.5,5426,854.2204201990417,113.89605602653889,101.17950608182824,155.1787688905271,126.42830814596387,106.33984518982675,73.90342793955033,48.83892370070033,51.05049760412827,47.18024327312938,16.955399926280872,9.952082565425728,1.8429782528566163,1.474382602285293
Civic Center,44.0,8223,516,308,951,541,2622,284,1474,907,428,98,75,15,4,4.0,2.5,3.5,5,5.0,4.0,2812,2924.25320056899,183.49928876244664,109.53058321479374,338.1934566145092,192.38975817923188,932.4324324324325,100.99573257467995,524.1820768136558,322.5462304409673,152.20483641536273,34.85064011379801,26.67140825035562,5.334281650071123,1.4224751066856332
Clayton,357.0,2422,259,292,345,356,556,171,122,89,130,63,30,4,5,1.0,3.0,3.5,1,3.0,2.29999995,4439,545.6183825185853,58.346474431178194,65.78058121198468,77.720207253886,80.19824284748817,125.25343545843658,38.522189682360896,27.48366749267853,20.049560711872044,29.285875197116468,14.192385672448749,6.758278891642262,0.9011038522189683,1.1263798152737103
Cole,267.0,2260,310,372,361,313,323,215,34,103,131,53,32,9,4,1.5,2.5,3.5,1,4.0,2.5,4498,502.44553134726544,68.91951978657181,82.70342374388618,80.25789239662072,69.58648288128057,71.80969319697643,47.79902178746109,7.558915073365941,22.89906625166741,29.12405513561583,11.783014673188083,7.114273010226768,2.0008892841262784,0.889284126278346
College View - South Platte,203.0,3797,418,543,539,575,549,370,216,169,221,96,77,16,8,1.0,1.0,2.5,1,3.5,1.79999995,8225,461.6413373860183,50.820668693009125,66.01823708206688,65.53191489361703,69.90881458966565,66.74772036474164,44.984802431610944,26.26139817629179,20.54711246200608,26.869300911854104,11.671732522796352,9.361702127659575,1.9452887537993921,0.9726443768996961
